"S","M","Amu","d_z","P.alpha","P.gamma","P.slope","E.slope","type"
100,100,-0.1,2.8,0.0591460022026029,0,-0.00591460022026029,-0.465,"Positive DD"
10,10,-0.9,3,0.04,0,-0.004,-0.04,"Positive DD"
100,10,-0.9,3,0,0,0,0,"Positive DD"
10,100,-0.9,3,0.0411111111111111,0,-0.00411111111111111,-0.04,"Positive DD"
100,100,-0.9,3,1e-04,0,-1e-05,-0.001,"Positive DD"
10,10,-0.5,3,0.0872222222222222,0,-0.00872222222222222,-0.08,"Positive DD"
100,10,-0.5,3,0.001,0,-1e-04,-0.01,"Positive DD"
10,100,-0.5,3,0.0661626984126984,0,-0.00661626984126984,-0.06,"Positive DD"
100,100,-0.5,3,1e-04,0,-1e-05,-0.001,"Positive DD"
10,10,-0.1,3,0.287222222222222,0,-0.0287222222222222,-0.22,"Positive DD"
100,10,-0.1,3,0.0297763256500311,0,-0.00297763256500311,-0.29,"Positive DD"
10,100,-0.1,3,0.335428571428571,0,-0.0335428571428571,-0.271,"Positive DD"
100,100,-0.1,3,0.0401314901407191,0,-0.00401314901407191,-0.393,"Positive DD"
10,10,-0.9,1,NA,0.375,NA,0.21,"Negative DD"
100,10,-0.9,1,NA,0.722222222222222,NA,1.17,"Negative DD"
10,100,-0.9,1,NA,0,NA,-0.057,"Negative DD"
100,100,-0.9,1,NA,0.448717948717949,NA,3.402,"Negative DD"
10,10,-0.5,1,0.683333333333333,0.444444444444444,-0.0238888888888889,0.24,"Negative DD"
100,10,-0.5,1,NA,0.583333333333333,NA,1.26,"Negative DD"
10,100,-0.5,1,NA,0,NA,-0.094,"Negative DD"
100,100,-0.5,1,NA,0.5,NA,4.39,"Negative DD"
10,10,-0.1,1,0.483333333333333,0,-0.0483333333333333,-0.17,"Negative DD"
100,10,-0.1,1,0.824044289044289,0.78125,-0.00427942890442891,4.12,"Negative DD"
10,100,-0.1,1,0.756583333333333,0.1,-0.0656583333333333,-0.158,"Negative DD"
100,100,-0.1,1,0.737574397824398,0.15,-0.0587574397824398,0.844,"Negative DD"
10,10,-0.9,1.2,NA,0.6,NA,0.25,"Negative DD"
100,10,-0.9,1.2,0.695714285714286,0.65,-0.00457142857142857,2.25,"Negative DD"
10,100,-0.9,1.2,NA,0,NA,-0.064,"Negative DD"
100,100,-0.9,1.2,0.90272437796122,0.41,-0.049272437796122,3.182,"Negative DD"
10,10,-0.5,1.2,NA,0.625,NA,0.41,"Negative DD"
100,10,-0.5,1.2,0.775,0.814814814814815,0.00398148148148147,1.94,"Negative DD"
10,100,-0.5,1.2,NA,0,NA,-0.091,"Negative DD"
100,100,-0.5,1.2,NA,0.397849462365591,NA,3.509,"Negative DD"
10,10,-0.1,1.2,0.7,0.166666666666667,-0.0533333333333333,-0.08,"Negative DD"
100,10,-0.1,1.2,0.664484126984127,0.506493506493506,-0.0157990620490621,2.97,"Negative DD"
10,100,-0.1,1.2,0.780809523809524,0,-0.0780809523809524,-0.335,"Negative DD"
100,100,-0.1,1.2,0.711944444444444,0.208333333333333,-0.0503611111111111,1.566,"Negative DD"
10,10,-0.9,1.4,NA,0,NA,-0.02,"Negative DD"
100,10,-0.9,1.4,0.865873015873016,0.843137254901961,-0.00227357609710551,3.73,"Negative DD"
10,100,-0.9,1.4,NA,0.1,NA,0.041,"Negative DD"
100,100,-0.9,1.4,0.952831772868477,0.44,-0.0512831772868477,2.628,"Negative DD"
10,10,-0.5,1.4,0.79,0.5,-0.029,0.27,"Negative DD"
100,10,-0.5,1.4,0.923511904761905,0.919354838709677,-0.000415706605222732,4.92,"Negative DD"
10,100,-0.5,1.4,NA,0,NA,-0.152,"Negative DD"
100,100,-0.5,1.4,NA,0.40625,NA,3.611,"Negative DD"
10,10,-0.1,1.4,0.566666666666667,0.222222222222222,-0.0344444444444444,0.08,"Negative DD"
100,10,-0.1,1.4,0.823484116527595,0.611111111111111,-0.0212373005416484,3.47,"Negative DD"
10,100,-0.1,1.4,NA,0.1,NA,-0.02,"Negative DD"
100,100,-0.1,1.4,0.606560083707143,0.09,-0.0516560083707143,0.228,"Negative DD"
10,10,-0.9,1.6,NA,0.777777777777778,NA,0.52,"Negative DD"
100,10,-0.9,1.6,0.900714285714286,0.883720930232558,-0.00169933554817275,3.38,"Negative DD"
10,100,-0.9,1.6,NA,0,NA,-0.105,"Negative DD"
100,100,-0.9,1.6,0.822362248862249,0.37,-0.0452362248862249,3.104,"Negative DD"
10,10,-0.5,1.6,0.558333333333333,0.333333333333333,-0.0225,0.16,"Negative DD"
100,10,-0.5,1.6,0.644166666666667,0.567567567567568,-0.00765990990990991,1.83,"Negative DD"
10,100,-0.5,1.6,NA,0,NA,-0.132,"Negative DD"
100,100,-0.5,1.6,0.873170634920635,0.61,-0.0263170634920635,5.689,"Negative DD"
10,10,-0.1,1.6,0.791666666666667,0.5,-0.0291666666666667,0.25,"Negative DD"
100,10,-0.1,1.6,0.738565601065601,0.623188405797101,-0.01153771952685,3.5,"Negative DD"
10,100,-0.1,1.6,0.570309523809524,0,-0.0570309523809524,-0.216,"Negative DD"
100,100,-0.1,1.6,0.710837357087357,0.151515151515152,-0.0559322205572206,0.846,"Negative DD"
10,10,-0.9,1.8,NA,0.666666666666667,NA,0.44,"Negative DD"
100,10,-0.9,1.8,0.835467741323004,0.728260869565217,-0.0107206871757787,5.02,"Negative DD"
10,100,-0.9,1.8,0.64018253968254,0,-0.064018253968254,-0.38,"Negative DD"
100,100,-0.9,1.8,0.730984068634091,0.01,-0.0720984068634091,-1.352,"Negative DD"
10,10,-0.5,1.8,0.785,0.3,-0.0485,-0.01,"Negative DD"
100,10,-0.5,1.8,0.857542036910458,0.755813953488372,-0.0101728083422086,4.91,"Negative DD"
